,A
TICKER,Sharpe,Avg Return,fcfTest Test,pbTest Test,deTest Test,roaTest Test,peTest Test,epsTest Test,roeTest Test,RETURN,PE,PB,EPS,DE,FCF,ROE,ROA,MC,BETA,PE Score,PB Score,EPS Score,DE Score,FCF Score,ROE Score,ROA Score,BETA Score,FTG Score
SBUX:US,-8.647832808571884,-0.07900000000000001,10,0,30,4,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
9783:JP,-24.213931864001278,-0.07900000000000001,10,0,30,3,3,10,4,-0.14,24.8,2.12,11.81,23.32,12.28,8.7,3.91,325000000000.0,0.48,False,False,True,True,True,True,True,0.00020833333333333335,5.000208333333333
SBUX:US,-8.647832808571884,-0.07900000000000001,10,0,30,4,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-8.503951190479212,-0.10400000000000002,20,0,30,3,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-8.50395119047921,-0.10400000000000001,20,0,30,4,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-8.503951190479212,-0.10400000000000002,20,0,30,3,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-8.50395119047921,-0.10400000000000001,20,0,30,4,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-10.881163828572154,-0.05700000000000001,30,0,30,3,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-11.134285724737376,-0.05900000000000001,30,0,30,4,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-10.881163828572154,-0.05700000000000001,30,0,30,3,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-11.134285724737376,-0.05900000000000001,30,0,30,4,3,10,4,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
SBUX:US,-15.510558653458899,-0.03200000000000001,40,0,30,3,3,10,3,-0.05,35.45,8.81,17.14,10.7,43.85,28.13,17.69,86647596000.0,1.07,False,False,True,True,True,True,True,9.345794392523364e-05,5.000093457943925
